Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ACB.TO,7.39,2017/12/05,16:45 EST,-0.03000021,7.46,7.51,7.26,10254839,,,,,,,
ACBFF,5.82,2017/12/05,15:59 EST,-0.029999733,0.0,0.0,0.0,0,,,,,,,
APH.TO,13.53,2017/12/05,16:45 EST,1.9099998,14.48,14.89,13.0,12022853,,,,,,,
APHQF,10.66,2017/12/05,15:59 EST,1.4899998,0.0,0.0,0.0,0,,,,,,,
LEAF.TO,15.5,2017/12/05,16:42 EST,-0.27999973,15.78,16.1,14.83,562270,,,,,,,
MJNA,0.1035,2017/12/05,15:59 EST,0.006400004,0.0,0.0,0.0,0,,,,,,,
WEED.TO,18.76,2017/12/05,16:28 EST,0.5100002,18.63,19.19,18.28,4623475,,,,,,,
