Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
JUNO,56.7,2017/12/01,16:00 EST,2.0800018,54.62,57.25,53.5,1806522,,,,,,,
EDIT,29.87,2017/12/01,16:00 EST,1.0,28.87,30.4,28.37,1022541,,,,,,,
CRSP,19.12,2017/12/01,16:00 EST,0.13000107,19.05,19.5,18.5,324661,,,,,,,
NTLA,23.0,2017/12/01,16:00 EST,0.47999954,22.56,23.399,21.4438,831965,,,,,,,
BLUE,171.1,2017/12/01,16:00 EST,-1.699997,172.15,174.65,162.3,633825,,,,,,,
KITE,179.79,2017/10/02,16:00 EDT,0.0,179.82,179.95,179.55,100,,,,,,,
NVS,86.05,2017/12/01,16:02 EST,0.25,85.58,86.16,85.58,1178747,,,,,,,
YTEN,2.16,2017/12/01,15:55 EST,-0.13999987,2.27,2.2801,2.03,27927,,,,,,,
